country,countrycode,population,total renewable freshwater resources [billion cubic meters] 2002,total renewable freshwater resources [billion cubic meters] 2014,annual freshwater withdrawl [%] 2002,annual freshwater withdrawl [%] 2014
Tajikistan,TJK,8295840,63.46,63.46,18.84651749,18.10589348
Turkmenistan,TKM,5307188,1.405,1.405,1772.953737,1989.323843
Timor-Leste,TLS,1212107,8.215,8.215,0,14.26658551
Tonga,TON,105586,,,0,0
Trinidad and Tobago,TTO,1354483,3.84,3.84,8.177083333,9.979166667
Tunisia,TUN,10996600,4.195,4.195,67.93802145,78.78426698
Turkey,TUR,75932348,227,227,18.50220264,17.66519824
Tuvalu,TUV,9893,,,,
Tanzania,TZA,51822621,84,84,6.171428571,6.171428571
Uganda,UGA,37782971,39,39,0.813846154,1.633333333
Ukraine,UKR,45362900,55.1,55.1,33.17604356,26.95099819
Upper middle income,UMC,2360817817,15552.868,15561.275,,7.389322533
Uruguay,URY,3419516,92.2,92.2,3.969631236,3.969631236
United States,USA,318857056,2818,2818,16.79914833,16.97657913
Uzbekistan,UZB,30757700,16.34,16.34,370.746634,342.7172583
St. Vincent and the Grenadines,VCT,109360,0.1,0.1,,8.5
"Venezuela, RB",VEN,30693827,805,805,1.125962733,2.811180124
Virgin Islands (U.S.),VIR,104170,,,,
Vietnam,VNM,90728900,359.4,359.4,,22.82415136
Vanuatu,VUT,258883,,,,
West Bank and Gaza,PSE,4294682,0.812,0.812,34.35960591,51.47783251
World,WLD,7259691769,43378.3481,42800.7551,,9.139195709
Samoa,WSM,191845,,,,
"Yemen, Rep.",YEM,26183676,2.1,2.1,161.9047619,169.7619048
South Africa,ZAF,54001953,44.8,44.8,27.90178571,27.90178571
"Congo, Dem. Rep.",COD,74877030,900,900,0.0649,0.075955556
Zambia,ZMB,15721343,80.2,80.2,1.960099751,1.960099751
Zimbabwe,ZWE,15245855,12.26,12.26,34.29853181,34.29853181
