Country,Continent,Year,GDP_per_capita,life_expectancy,Population
"Korea, Dem. Rep.",Asia,2010,1548.619789,69.118,24346229
"Korea, Rep.",Asia,2010,25080.3515,80.772,48183584
Kuwait,Asia,2010,39766.96425,73.992,2736732
Kyrgyzstan,Asia,2010,2018.144688,67.054,5334223
Laos,Asia,2010,2466.641376,66.957,6200894
Latvia,Europe,2010,13466.90975,71.836,2252060
Lebanon,Asia,2010,13657.99158,79.11,4227597
Lesotho,Africa,2010,1801.349543,47.584,2171318
Liberia,Africa,2010,450.1173633,59.459,3994122
Libya,Africa,2010,11842.3861,74.732,6355112
Lithuania,Europe,2010,15408.12507,71.631,3323611
Luxembourg,Europe,2010,70402.8428,80.004,507448
"Macao, China",Asia,2010,57656.72775,79.754,543656
"Macedonia, FYR",Europe,2010,8732.604054,74.731,2060563
Madagascar,Africa,2010,995.2184871,63.38,20713819
Malawi,Africa,2010,844.4226901,53.536,14900841
Malaysia,Asia,2010,13185.43553,74.479,28401017
Maldives,Asia,2010,5642.143188,76.779,315885
Mali,Africa,2010,1121.551629,53.788,15369809
Malta,Europe,2010,22034.2506,79.225,416515
Mauritania,Africa,2010,1801.646396,61.064,3459773
Mauritius,Africa,2010,12317.23559,73.142,1299172
Mexico,North-America,2010,11390.58354,76.836,113423047
"Micronesia, Fed. Sts.",Oceania,2010,5561.49351,68.654,111064
Moldova,Europe,2010,2794.926563,68.541,3572885
Mongolia,Asia,2010,3345.801346,66.825,2756001
Montenegro,Europe,2010,9396.213038,74.489,631490
Morocco,Africa,2010,4263.175989,70.246,31951412
Mozambique,Africa,2010,954.4875561,49.204,23390765
Myanmar,Asia,2010,1538.131781,64.658,47963012
Namibia,Africa,2010,5159.794219,62.594,2283289
Nepal,Asia,2010,1203.934997,67.113,29959364
Netherlands,Europe,2010,36526.12179,80.621,16612988
New Zealand,Oceania,2010,24607.28417,80.67,4368136
Nicaragua,North-America,2010,2871.903509,73.84,5788163
Niger,Africa,2010,661.1771297,56.956,15511953
Nigeria,Africa,2010,2297.341367,51.297,158423182
Norway,Europe,2010,46595.82113,81.064,4883111
Oman,Asia,2010,29371.91689,75.721,2782435
Pakistan,Asia,2010,2614.772162,66.11,173593383
Panama,North-America,2010,11494.67388,76.916,3516820
Papua New Guinea,Oceania,2010,2073.925052,61.994,6858266
Paraguay,South-America,2010,4508.385932,72.016,6454548
Peru,South-America,2010,8419.90566,73.912,29076512
Philippines,Asia,2010,3434.695972,68.207,93260798
Poland,Europe,2010,17089.72163,75.902,38276660
Portugal,Europe,2010,20350.98257,79.291,10675572
Qatar,Asia,2010,82181.86737,77.959,1758793
Romania,Europe,2010,10738.96394,73.476,21486371
Russia,Asia,2010,14207.51818,67.622,142958164
Rwanda,Africa,2010,1094.057911,62.276,10624005
Saint Lucia,North-America,2010,10572.64957,74.425,174267
Saint Vincent and the Grenadines,North-America,2010,6925.207789,72.174,109333
Samoa,Oceania,2010,4936.378953,72.283,183081
Sao Tome and Principe,Africa,2010,1835.456105,65.93,165397
Saudi Arabia,Asia,2010,23841.28888,74.832,27448086
Senegal,Africa,2010,1740.515097,62.934,12433728
Serbia,Europe,2010,9437.814608,73.676,9856222
Seychelles,Africa,2010,16341.86498,72.724,86518
Sierra Leone,Africa,2010,889.5818389,44.846,5867536
Singapore,Asia,2010,48324.58055,81.788,5086418
Slovak Republic,Europe,2010,19794.74169,75.02,5462119
Slovenia,Europe,2010,24515.9774,79.125,2029680
Solomon Islands,Oceania,2010,1820.628849,67.027,538148
Somalia,Africa,2010,948.4843629,53,9330872
South Africa,Africa,2010,9322.168814,54.547,50132817
South Sudan,Africa,2010,2709.001354,53.488,9415421
Spain,Europe,2010,26779.63704,81.656,46076989
Sri Lanka,Asia,2010,4561.071915,73.79,20859949
Sudan,Africa,2010,2597.127808,61.49,34136520
Suriname,South-America,2010,8431.137039,70.309,524636
Swaziland,Africa,2010,5163.288425,48.398,1186056
Sweden,Europe,2010,33316.77213,81.426,9379687
Switzerland,Europe,2010,37220.03817,82.192,7664318
Syria,Asia,2010,4609.73113,74.693,20410606
Taiwan,Asia,2010,31372.91051,79.15,23025000
Tajikistan,Asia,2010,1768.095085,66.83,6878637
Tanzania,Africa,2010,1229.299421,59.224,44841226
Thailand,Asia,2010,7996.075059,73.852,69122234
Timor-Leste,Asia,2010,2987.64296,65.952,1124355
Togo,Africa,2010,925.3900846,55.514,6027798
Tonga,Oceania,2010,4834.890088,72.209,104058
Trinidad and Tobago,North-America,2010,17716.97671,69.55,1341465
Tunisia,Africa,2010,7664.840299,75.147,10480934
Turkey,Asia,2010,8556.033519,74.274,72752325
Turkmenistan,Asia,2010,6427.023204,65,5041995
Uganda,Africa,2010,1219.457289,57.319,33424683
Ukraine,Europe,2010,6022.477704,68.188,45448329
United Arab Emirates,Asia,2010,31040.25452,76.325,7511690
United Kingdom,Europe,2010,31448.18228,80.085,62035570
United States,North-America,2010,41230.56986,78.507,310383948
Uruguay,South-America,2010,12097.77465,76.787,3368786
Uzbekistan,Asia,2010,2753.989417,67.871,27444702
Vanuatu,Oceania,2010,3959.324882,70.761,239651
Venezuela,South-America,2010,10956.60355,74.159,28979857
Vietnam,Asia,2010,2830.7757,75.49,87848445
West Bank and Gaza,Asia,2010,3934.957429,72.64,4039192
"Yemen, Rep.",Asia,2010,2418.761076,62.536,24052514
Zambia,Africa,2010,1420.231814,54.549,13088570
Zimbabwe,Africa,2010,479.8247801,53.684,12571454
